player_season_team,PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
PreciousAchiuwa_2021_MIA,PreciousAchiuwa,PF,21,MIA,22,2,15.9,2.8,4.7,.596,0.0,0.0,0.0,2.8,4.7,.596,.596,1.5,2.9,.540,1.5,3.0,4.5,0.7,0.5,0.6,1.1,2.0,7.2,2021,6.4,10.7,0.0,0.0,6.4,10.7,3.5,6.5,3.5,6.8,10.3,1.6,1.0,1.3,2.6,4.6,16.3,8.6,14.4,0.0,0.0,8.6,14.4,4.7,8.7,4.7,9.1,13.9,2.2,1.4,1.8,3.5,6.2,21.9,110,109,15.8,.600,.000,.606,11.6,20.0,16.1,7.4,1.4,3.8,16.0,19.9,0.3,0.5,0.8,.108,-2.4,-0.3,-2.7,-0.1
JaylenAdams_2021_MIL,JaylenAdams,PG,24,MIL,3,0,3.7,0.0,1.7,.000,0.0,0.7,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,2021,0.0,16.4,0.0,6.5,0.0,9.8,0.0,0.0,0.0,3.3,3.3,6.5,0.0,0.0,0.0,3.3,0.0,0.0,21.4,0.0,8.6,0.0,12.8,0.0,0.0,0.0,4.3,4.3,8.6,0.0,0.0,0.0,4.3,0.0,30,117,-12.4,.000,.400,.000,0.0,9.2,4.8,19.2,0.0,0.0,0.0,18.9,-0.1,0.0,-0.1,-0.346,-17.3,-6.6,-23.9,-0.1
StevenAdams_2021_NOP,StevenAdams,C,27,NOP,20,20,30.3,3.8,6.4,.594,0.0,0.1,.000,3.8,6.4,.598,.594,1.3,2.5,.500,4.5,5.6,10.1,2.5,1.0,0.6,2.0,2.0,8.9,2021,4.5,7.6,0.0,0.1,4.5,7.6,1.5,3.0,5.4,6.6,12.0,3.0,1.1,0.7,2.4,2.3,10.5,6.1,10.2,0.0,0.1,6.1,10.2,2.0,4.0,7.2,8.9,16.1,4.0,1.5,0.9,3.2,3.1,14.2,118,112,15.9,.590,.008,.391,16.1,20.0,18.0,11.4,1.5,1.9,21.1,13.3,0.9,0.6,1.4,.113,-0.1,-0.7,-0.8,0.2
BamAdebayo_2021_MIA,BamAdebayo,C,23,MIA,20,20,33.0,7.4,12.7,.581,0.1,0.3,.400,7.3,12.4,.585,.585,5.2,6.0,.867,1.8,7.4,9.2,5.2,0.9,1.0,3.0,2.7,20.0,2021,8.0,13.8,0.1,0.3,7.9,13.5,5.7,6.6,2.0,8.0,10.0,5.7,0.9,1.1,3.2,2.9,21.9,10.8,18.6,0.1,0.4,10.7,18.2,7.7,8.8,2.6,10.8,13.5,7.7,1.3,1.5,4.3,3.9,29.4,122,108,23.2,.654,.020,.474,6.6,23.7,15.6,27.5,1.3,3.1,16.2,24.6,1.9,0.9,2.8,.206,2.9,2.0,4.9,1.2
LaMarcusAldridge_2021_SAS,LaMarcusAldridge,C,35,SAS,18,18,26.7,5.9,12.5,.476,1.3,3.7,.358,4.6,8.8,.525,.529,0.9,1.2,.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,2021,8.0,16.9,1.8,5.0,6.2,11.8,1.2,1.6,1.1,4.7,5.9,2.6,0.5,1.2,1.2,2.0,19.0,10.7,22.4,2.4,6.7,8.3,15.7,1.6,2.1,1.5,6.3,7.8,3.5,0.7,1.6,1.6,2.7,25.3,107,112,15.4,.542,.298,.093,3.1,14.0,8.4,11.3,0.7,2.8,6.4,22.4,0.3,0.4,0.7,.072,0.3,-1.0,-0.7,0.2
TyShonAlexander_2021_PHO,TyShonAlexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2021,0.0,13.5,0.0,4.5,0.0,9.0,0.0,0.0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,4.5,0.0,0.0,18.5,0.0,6.2,0.0,12.3,0.0,0.0,0.0,6.2,6.2,6.2,0.0,0.0,0.0,6.2,0.0,22,113,-11.8,.000,.333,.000,0.0,13.5,6.9,15.1,0.0,0.0,0.0,16.7,-0.1,0.0,-0.1,-0.321,-16.4,-4.8,-21.2,0.0
NickeilAlexanderWalker_2021_NOP,NickeilAlexanderWalker,SG,22,NOP,19,3,21.1,3.7,9.4,.399,1.2,4.3,.268,2.6,5.1,.510,.461,1.2,1.6,.767,0.2,2.7,2.9,2.1,1.3,0.4,1.5,1.9,9.8,2021,6.4,16.0,2.0,7.4,4.4,8.6,2.1,2.7,0.4,4.6,5.0,3.6,2.2,0.6,2.6,3.3,16.8,8.6,21.5,2.7,9.9,5.9,11.6,2.8,3.6,0.5,6.2,6.7,4.8,2.9,0.8,3.5,4.5,22.6,96,110,11.5,.489,.461,.169,1.1,13.9,7.5,14.8,2.9,1.8,13.2,23.4,-0.3,0.5,0.1,.016,-3.1,0.0,-3.1,-0.1
GraysonAllen_2021_MEM,GraysonAllen,SG,25,MEM,12,4,21.5,2.3,6.0,.375,1.5,4.2,.360,0.8,1.8,.409,.500,2.0,2.3,.889,0.5,2.4,2.9,2.0,1.0,0.3,1.2,0.8,8.0,2021,3.8,10.0,2.5,7.0,1.3,3.1,3.3,3.8,0.8,4.0,4.9,3.3,1.7,0.4,2.0,1.4,13.4,5.0,13.3,3.3,9.3,1.7,4.1,4.4,5.0,1.1,5.4,6.5,4.4,2.2,0.6,2.6,1.9,17.8,110,110,12.4,.572,.694,.375,2.5,12.2,7.3,12.0,2.2,1.0,14.3,16.1,0.2,0.3,0.5,.095,-1.1,0.5,-0.6,0.1
JarrettAllen_2021_TOT,JarrettAllen,C,22,TOT,22,6,25.8,4.1,6.1,.679,0.0,0.0,1.000,4.1,6.0,.677,.683,3.5,4.5,.780,2.9,6.2,9.1,1.6,0.5,1.8,1.5,1.7,11.9,2021,5.8,8.5,0.1,0.1,5.7,8.4,4.9,6.3,4.0,8.7,12.7,2.3,0.7,2.5,2.1,2.3,16.5,7.7,11.3,0.1,0.1,7.6,11.3,6.6,8.5,5.3,11.6,16.9,3.0,0.9,3.3,2.8,3.1,22.1,138,108,23.4,.733,.007,.746,12.7,25.7,19.4,9.2,0.9,6.0,15.6,16.0,2.0,0.8,2.8,.233,2.4,1.1,3.5,0.8
JarrettAllen_2021_BRK,JarrettAllen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0.0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,2021,5.0,7.3,0.0,0.0,5.0,7.3,5.2,6.9,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1,6.5,9.6,0.0,0.0,6.5,9.6,6.8,9.0,5.6,12.8,18.4,2.9,1.0,2.8,3.2,3.1,19.7,135,109,21.4,.730,.000,.938,14.1,28.0,21.5,8.2,1.0,4.9,19.3,15.3,1.0,0.4,1.4,.213,1.3,0.6,1.9,0.3
