PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,W,L,W/L%,GB,PW,PL,PS/G,PA/G,CONF,CONF_RANK
PreciousAchiuwa,PF,21,MIA,21,2,15.7,2.9,4.6,.625,0.0,0.0,0.0,2.9,4.6,.625,.625,1.6,3.0,.540,1.6,3.1,4.7,0.8,0.4,0.6,1.1,2.0,7.3,2021,6.5,10.5,0.0,0.0,6.5,10.5,3.7,6.9,3.7,7.1,10.8,1.7,1.0,1.4,2.5,4.6,16.8,8.8,14.1,0.0,0.0,8.8,14.1,5.0,9.3,5.0,9.6,14.6,2.4,1.3,1.9,3.4,6.2,22.7,114,109,17.4,.622,.000,.656,12.3,21.1,16.9,7.9,1.3,4.0,15.7,19.8,0.5,0.4,0.9,.128,-1.5,0.0,-1.6,0.0,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
BamAdebayo,C,23,MIA,19,19,33.2,7.5,12.8,.584,0.1,0.3,.400,7.4,12.5,.588,.588,4.9,5.7,.853,1.8,7.6,9.4,5.3,0.8,0.9,3.1,2.7,19.9,2021,8.1,13.9,0.1,0.3,8.0,13.6,5.3,6.2,2.0,8.2,10.2,5.8,0.9,1.0,3.4,2.9,21.6,10.9,18.7,0.2,0.4,10.8,18.3,7.2,8.4,2.7,11.1,13.8,7.8,1.2,1.4,4.5,3.9,29.2,121,109,22.8,.651,.021,.449,6.6,24.4,16.0,28.2,1.2,2.9,16.9,24.7,1.7,0.8,2.5,.192,2.7,1.9,4.7,1.1,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
AveryBradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,2021,5.3,11.3,2.7,6.5,2.6,4.8,1.2,1.5,0.3,2.7,3.1,2.4,1.2,0.2,1.5,4.4,14.5,7.1,15.2,3.7,8.7,3.5,6.4,1.6,2.1,0.5,3.7,4.1,3.2,1.6,0.2,2.1,6.0,19.6,109,114,10.5,.607,.576,.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.6,0.1,0.1,0.3,.063,-2.7,-0.6,-3.2,-0.1,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
JimmyButler,SF,31,MIA,9,9,31.3,6.2,13.8,.452,0.0,1.4,.000,6.2,12.3,.505,.452,6.3,7.3,.864,1.9,4.4,6.3,6.0,2.0,0.4,1.6,0.9,18.8,2021,7.1,15.8,0.0,1.7,7.1,14.2,7.3,8.4,2.2,5.1,7.3,6.9,2.3,0.5,1.8,1.0,21.6,9.6,21.4,0.0,2.2,9.6,19.1,9.8,11.4,2.9,6.9,9.8,9.3,3.1,0.7,2.4,1.4,29.1,120,108,24.3,.552,.105,.532,7.2,15.2,11.4,32.3,3.1,1.5,8.4,26.3,0.8,0.4,1.2,.202,2.6,2.3,4.9,0.5,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
GoranDragi,PG,34,MIA,16,5,26.8,5.3,11.8,.452,1.7,4.8,.355,3.6,7.0,.518,.524,2.4,2.9,.809,0.4,2.6,3.1,5.4,0.6,0.1,3.1,2.7,14.7,2021,7.1,15.8,2.3,6.4,4.9,9.4,3.2,3.9,0.6,3.5,4.1,7.2,0.8,0.2,4.1,3.6,19.7,9.6,21.3,3.1,8.6,6.6,12.7,4.3,5.3,0.8,4.8,5.5,9.7,1.0,0.2,5.5,4.9,26.6,103,115,13.7,.563,.404,.250,1.9,10.5,6.4,33.8,1.0,0.5,19.0,26.7,0.1,0.2,0.3,.036,-0.9,-2.3,-3.3,-0.1,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
MauriceHarkless,SF,27,MIA,9,3,10.7,0.4,1.1,.400,0.4,0.9,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.0,0.9,0.9,0.6,0.2,0.2,0.2,1.2,1.3,2021,1.5,3.7,1.5,3.0,0.0,0.7,0.0,0.7,0.0,3.0,3.0,1.9,0.7,0.7,0.7,4.1,4.5,2.0,5.1,2.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.5,1.0,1.0,1.0,5.6,6.1,101,115,3.9,.551,.800,.200,0.0,8.9,4.7,6.9,1.0,2.1,15.5,6.0,0.0,0.1,0.1,.029,-3.6,0.7,-2.9,0.0,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
TylerHerro,SG,21,MIA,14,14,34.1,6.5,14.4,.453,1.9,5.7,.325,4.6,8.6,.537,.517,2.4,3.0,.786,0.2,5.9,6.1,3.9,0.4,0.2,2.8,1.6,17.2,2021,6.9,15.2,2.0,6.0,4.9,9.1,2.5,3.2,0.2,6.3,6.5,4.1,0.5,0.2,2.9,1.7,18.2,9.3,20.5,2.6,8.1,6.6,12.3,3.4,4.3,0.3,8.5,8.8,5.5,0.6,0.3,4.0,2.3,24.5,99,114,12.1,.549,.398,.209,0.8,18.6,10.2,18.8,0.6,0.6,15.1,24.1,-0.2,0.3,0.1,.015,-1.6,-1.6,-3.2,-0.1,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
AndreIguodala,SF,37,MIA,19,2,21.1,1.6,4.5,.365,1.2,3.5,.343,0.4,0.9,.444,.500,0.3,0.6,.455,0.5,3.1,3.6,2.7,1.2,0.3,1.2,1.5,4.7,2021,2.8,7.6,2.1,6.0,0.7,1.6,0.4,1.0,0.8,5.3,6.1,4.6,2.0,0.5,2.0,2.5,8.1,3.8,10.3,2.8,8.1,1.0,2.2,0.6,1.3,1.1,7.1,8.2,6.2,2.7,0.7,2.7,3.4,10.9,99,109,9.6,.501,.788,.129,2.7,15.7,9.6,17.8,2.7,1.5,19.7,12.4,-0.1,0.5,0.4,.050,-2.0,2.3,0.3,0.2,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
MeyersLeonard,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3,2021,3.7,8.7,3.7,8.7,0.0,0.0,1.2,2.5,0.0,8.7,8.7,2.5,0.0,0.0,2.5,6.2,12.4,5.0,11.7,5.0,11.7,0.0,0.0,1.7,3.3,0.0,11.7,11.7,3.3,0.0,0.0,3.3,8.4,16.7,101,113,6.7,.635,1.000,.286,0.0,25.8,13.6,10.0,0.0,0.0,20.2,15.2,0.0,0.0,0.0,.032,-3.5,-0.9,-4.4,0.0,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
KendrickNunn,PG,25,MIA,13,2,25.7,4.8,10.5,.460,1.4,4.5,.310,3.5,6.1,.570,.526,1.0,1.2,.867,0.4,2.6,3.0,2.5,0.9,0.2,1.8,1.5,12.1,2021,6.8,14.8,1.9,6.3,4.9,8.5,1.4,1.6,0.5,3.7,4.2,3.4,1.3,0.3,2.5,2.0,16.9,9.2,19.9,2.6,8.4,6.5,11.5,1.9,2.2,0.7,4.9,5.7,4.7,1.7,0.4,3.3,2.8,22.8,99,113,12.1,.547,.423,.109,1.8,10.9,6.6,15.9,1.7,0.9,13.8,22.2,-0.1,0.3,0.1,.021,-1.8,-0.6,-2.4,0.0,7,14,0.19399999999999998,8.0,12,24,62.1,65.3,EASTERN_CONF,13
